z	log 1	log 2	log 3	log 4	log 5	log 6	log 7	log 8	log 9	log 10	log 11	log 12	log 13	
~A
1419	0.118214286864	0.221142858267	-999.25	0.117285713553	0.229400008917	0.0648428574204	-999.25	0.195485711098	0.115299999714	0.104999996722	0.155428573489	0.304714262486	0.108071424067	
1420	0.10883333534	0.214866653085	-999.25	0.169066667557	0.282416671515	0.0790666639805	-999.25	0.168500006199	0.223200008273	0.161166667938	0.115666680038	0.364333301783	0.230266675353	
1421	0.115871436894	0.201214298606	-999.25	0.165928572416	0.247271418571	0.111885719001	-999.25	0.13847142458	0.107371434569	0.21471427381	0.155142858624	0.358000010252	0.109271429479	
1422	0.14335000515	0.176566675305	-999.25	0.136300012469	0.138516664505	0.118050001562	-999.25	0.188066661358	0.174833342433	0.129833325744	0.239500001073	0.337833315134	0.164833322167	
1423	0.139242857695	0.217857137322	-999.25	0.144285723567	0.130171433091	0.0960142835975	-999.25	0.244771450758	0.207271426916	0.214428558946	0.149857133627	0.331999987364	0.199971422553	
1424	0.141728579998	0.209914281964	-999.25	0.114914290607	0.147842869163	0.0968285799026	-999.25	0.155900001526	0.0668428614736	0.213000014424	0.130714282393	0.347571402788	0.0689285621047	
1425	0.138233348727	0.206166669726	-999.25	0.116566665471	0.201983332634	0.0716166645288	-999.25	0.13708332181	0.0689333304763	0.0816666707397	0.112833343446	0.32583335042	0.0692500025034	
1426	0.237957119942	0.198671445251	-999.25	0.200371429324	0.174885705113	0.0809142962098	-999.25	0.123599991202	0.0805142894387	0.0822857171297	0.103857144713	0.349714279175	0.082057133317	
1427	0.249233320355	0.199183344841	-999.25	0.168799996376	0.152549996972	0.16236667335	-999.25	0.13001665473	0.104400001466	0.0995000004768	0.147666662931	0.40649998188	0.104099996388	
1428	0.199557155371	0.213614270091	-999.25	0.178542867303	0.155542865396	0.134814292192	-999.25	0.190428584814	0.112399995327	0.11828571558	0.156428575516	0.387142837048	0.112757138908	
1429	0.117633342743	0.213216662407	-999.25	0.122450001538	0.129933327436	0.141516670585	-999.25	0.158933341503	0.103916667402	0.127333328128	0.122499994934	0.395500034094	0.105133332312	
1430	0.143614277244	0.19734287262	-999.25	0.1412999928	0.154899984598	0.0850142762065	-999.25	0.147757142782	0.114871427417	0.114857137203	0.134714275599	0.397571414709	0.115528576076	
1431	0.100471436977	0.199457138777	-999.25	0.182699993253	0.227742880583	0.116657145321	-999.25	0.188328579068	0.114071428776	0.130000010133	0.218999996781	0.290285736322	0.114428564906	
1432	0.105733327568	0.215050026774	-999.25	0.124516665936	0.177283346653	0.122483320534	-999.25	0.235649988055	0.0676166713238	0.116166673601	0.147999987006	0.246833324432	0.0691833347082	
1433	0.183342859149	0.205899998546	-999.25	0.121399998665	0.179871425033	0.10088571161	-999.25	0.168000012636	0.0613571405411	0.0818571448326	0.171142846346	0.237000018358	0.0577285699546	
1434	0.155716657639	0.190933331847	-999.25	0.185233339667	0.131766676903	0.0894000008702	-999.25	0.229233339429	0.114183329046	0.0891666710377	0.224500015378	0.260833352804	0.108033336699	
1435	0.108828559518	0.214814290404	-999.25	0.155242845416	0.196671441197	0.114314295352	-999.25	0.230100020766	0.103900007904	0.13414286077	0.124142862856	0.183142855763	0.11581427604	
1436	0.0938499942422	0.190700009465	-999.25	0.126850008965	0.181716665626	0.122366666794	-999.25	0.119899995625	0.0777499973774	0.124666653574	0.110166668892	0.26183333993	0.0722000002861	
1437	0.0866285711527	0.220771446824	-999.25	0.13714286685	0.136042863131	0.10525714606	-999.25	0.126685708761	0.155557155609	0.109999999404	0.120285712183	0.255857139826	0.1500428617	
1438	0.116616658866	0.227466657758	-999.25	0.184100016952	0.144333332777	0.0982500091195	-999.25	0.140083327889	0.106966666877	0.161166653037	0.126999989152	0.221000000834	0.117833323777	
1439	0.146799996495	0.207000002265	-999.25	0.193971410394	0.178528577089	0.128800004721	-999.25	0.159085720778	0.105957143009	0.133000001311	0.135428577662	0.227714300156	0.105485714972	
1440	0.0947428494692	0.192414283752	-999.25	0.204442858696	0.169342845678	0.159328565001	-999.25	0.175757154822	0.182614296675	0.130428567529	0.129714280367	0.216999992728	0.17442856729	
1441	0.114916659892	0.19578333199	-999.25	0.22566665709	0.150199994445	0.157700002193	-999.25	0.167599990964	0.141499996185	0.194833323359	0.137000009418	0.202333331108	0.144133344293	
1442	0.208199992776	0.177028566599	-999.25	0.185557126999	0.140228584409	0.176928564906	-999.25	0.165557146072	0.135828584433	0.149714276195	0.14142857492	0.19328571856	0.130228564143	
1443	0.127333328128	0.184149995446	-999.25	0.167949989438	0.148983314633	0.15596665442	-999.25	0.167200013995	0.217033341527	0.150833323598	0.118333332241	0.211500003934	0.216416671872	
1444	0.156471416354	0.076128564775	-999.25	0.116814278066	0.222128584981	0.115585707128	-999.25	0.154914289713	0.207114294171	0.230999991298	0.114714279771	0.237142875791	0.212771430612	
1445	0.198400005698	0.0697333291173	-999.25	0.115416668355	0.204933345318	0.0838500037789	-999.25	0.118316672742	0.211200013757	0.22133333981	0.159833326936	0.29116666317	0.204349994659	
1446	0.0927142873406	0.0571571476758	-999.25	0.109928563237	0.220342844725	0.074142858386	-999.25	0.157485708594	0.22755715251	0.226857155561	0.141142860055	0.370714277029	0.229071423411	
1447	0.0821142867208	0.0547714307904	-999.25	0.0986714214087	0.234542876482	0.0742571428418	-999.25	0.19037142396	0.19858571887	0.244285702705	0.147428587079	0.427857160568	0.194957137108	
1448	0.0988000035286	0.0487000010908	-999.25	0.177516654134	0.181016668677	0.0519833378494	-999.25	0.155266657472	0.146283343434	0.221166685224	0.177666664124	0.464166641235	0.143866673112	
1449	0.118928559124	0.0588857121766	-999.25	0.15914285183	0.156314283609	0.105242848396	-999.25	0.1721714288	0.190914288163	0.174714282155	0.155285701156	0.383857160807	0.191242858768	
1450	0.128716662526	0.098966665566	-999.25	0.14374999702	0.10379999876	0.120266653597	-999.25	0.195083335042	0.143116667867	0.212499976158	0.155666649342	0.309000015259	0.142949998379	
1451	0.116014294326	0.180471435189	-999.25	0.122457146645	0.12058570236	0.106042861938	-999.25	0.165871426463	0.186542853713	0.161285713315	0.178999990225	0.365999996662	0.181299999356	
1452	0.126233324409	0.208966657519	-999.25	0.138950005174	0.104249991477	0.0674499943852	-999.25	0.168099999428	0.168033316731	0.20000000298	0.237666651607	0.368666678667	0.159966677427	
